system,topic_id,seed,complete,has_attribute,has_classify,has_judge,n_cited_claims,support_total,n_supported,n_partial_attr,n_unsupported,n_attr_error,n_citation_mounts,n_contributing,n_claims,n_claims_with_cite,n_claims_bare,citation_recall,citation_precision,bare_assertion_rate,n_references,n_resolved,n_padding,n_failures,n_genuinely_fabricated,dist_metadata_parse_error,dist_id_extraction_fail,dist_dedup_collision,dist_genuinely_fabricated,existence_resolved_rate,n_relevant,n_partial_rel,n_irrelevant,n_rel_judged,relevance_score
SURVEYFLOW,neural_audio_codec,0,True,True,True,True,10,0.5000,0,1,9,0,10,1,52,13,39,0.0500,0.0500,0.7500,11,9,0,2,0,1,1,0,0,0.8182,7,2,2,11,72.7300
SURVEYFLOW,neural_audio_codec,1,True,True,True,True,11,2.5000,2,1,8,0,13,4,52,15,37,0.2273,0.2308,0.7115,11,8,0,3,0,1,1,1,0,0.7273,6,2,3,11,63.6400
SURVEYFLOW,neural_audio_codec,2,True,True,True,True,16,2.5000,2,1,13,0,16,2,38,16,22,0.1562,0.1562,0.5789,11,9,0,2,0,1,1,0,0,0.8182,7,2,2,11,72.7300
SURVEYFLOW,llm_agent_planning,0,True,True,True,True,17,6.0000,5,2,10,0,18,5,45,17,28,0.3529,0.3333,0.6222,11,8,0,3,0,1,2,0,0,0.7273,7,1,3,11,68.1800
SURVEYFLOW,llm_agent_planning,1,True,True,True,True,18,9.5000,8,3,7,0,18,9,48,25,23,0.5278,0.5278,0.4792,11,8,0,3,0,1,2,0,0,0.7273,7,1,3,11,68.1800
SURVEYFLOW,llm_agent_planning,2,True,True,True,True,20,11.5000,9,5,6,0,20,12,49,28,21,0.5750,0.5750,0.4286,11,8,0,3,0,1,2,0,0,0.7273,7,1,3,11,68.1800
SURVEYFLOW,battery_soh_ml,0,True,True,True,True,13,5.5000,3,5,5,0,14,8,26,13,13,0.4231,0.4643,0.5000,6,6,0,0,0,0,0,0,0,1.0000,5,1,0,6,91.6700
SURVEYFLOW,battery_soh_ml,1,True,True,True,True,9,3.0000,1,4,4,0,9,5,26,14,12,0.3333,0.3333,0.4615,6,5,0,1,0,0,1,0,0,0.8333,4,1,1,6,75.0000
SURVEYFLOW,battery_soh_ml,2,True,True,True,True,21,7.5000,5,5,11,0,21,10,33,21,12,0.3571,0.3571,0.3636,6,6,0,0,0,0,0,0,0,1.0000,5,1,0,6,91.6700
SURVEYFLOW,txt2sql,0,True,True,True,True,15,4.5000,4,1,10,0,15,5,47,19,28,0.3000,0.3000,0.5957,8,7,0,1,0,0,1,0,0,0.8750,4,2,2,8,62.5000
SURVEYFLOW,txt2sql,1,True,True,True,True,10,0.0000,0,0,10,0,11,0,43,10,33,0.0000,0.0000,0.7674,8,8,0,0,0,0,0,0,0,1.0000,4,3,1,8,68.7500
SURVEYFLOW,txt2sql,2,True,True,True,True,16,7.0000,6,2,8,0,16,7,47,18,29,0.4375,0.4375,0.6170,8,6,0,2,0,0,2,0,0,0.7500,3,3,2,8,56.2500
NAIVE_RAG,code_review_llm,0,True,True,True,True,10,4.0000,2,4,4,0,10,3,18,10,8,0.4000,0.4000,0.4444,6,5,0,1,0,0,0,1,0,0.8333,0,3,3,6,25.0000
NAIVE_RAG,code_review_llm,1,True,True,True,True,12,5.0000,4,2,6,0,12,5,20,12,8,0.4167,0.4167,0.4000,6,5,0,1,0,0,0,1,0,0.8333,0,4,2,6,33.3300
NAIVE_RAG,code_review_llm,2,True,True,True,True,11,5.0000,3,4,4,0,11,5,19,11,8,0.4545,0.4545,0.4211,6,5,0,1,0,0,0,1,0,0.8333,0,4,2,6,33.3300
NAIVE_RAG,diffusion_3d,0,True,True,True,True,14,1.0000,1,0,13,0,14,1,27,14,13,0.0714,0.0714,0.4815,2,2,0,0,0,0,0,0,0,1.0000,2,0,0,2,100.0000
NAIVE_RAG,diffusion_3d,1,True,True,True,True,13,0.0000,0,0,13,0,13,0,29,13,16,0.0000,0.0000,0.5517,2,2,0,0,0,0,0,0,0,1.0000,2,0,0,2,100.0000
NAIVE_RAG,diffusion_3d,2,True,True,True,True,15,0.0000,0,0,15,0,15,0,29,15,14,0.0000,0.0000,0.4828,2,2,0,0,0,0,0,0,0,1.0000,2,0,0,2,100.0000
NAIVE_RAG,gnn_drug,0,True,True,True,True,12,1.5000,0,3,9,0,12,1,15,12,3,0.1250,0.1250,0.2000,2,2,0,0,0,0,0,0,0,1.0000,2,0,0,2,100.0000
NAIVE_RAG,gnn_drug,1,True,True,True,True,9,1.0000,0,2,7,0,9,1,17,9,8,0.1111,0.1111,0.4706,2,2,0,0,0,0,0,0,0,1.0000,2,0,0,2,100.0000
NAIVE_RAG,gnn_drug,2,True,True,True,True,8,0.5000,0,1,7,0,8,0,15,8,7,0.0625,0.0625,0.4667,2,2,0,0,0,0,0,0,0,1.0000,2,0,0,2,100.0000
NAIVE_RAG,short_video_misinfo,0,True,True,True,True,4,2.0000,1,2,1,0,4,1,14,4,10,0.5000,0.5000,0.7143,1,1,0,0,0,0,0,0,0,1.0000,1,0,0,1,100.0000
NAIVE_RAG,short_video_misinfo,1,True,True,True,True,4,2.0000,2,0,2,0,5,2,14,4,10,0.5000,0.4000,0.7143,1,1,0,0,0,0,0,0,0,1.0000,1,0,0,1,100.0000
NAIVE_RAG,short_video_misinfo,2,True,True,True,True,4,2.5000,2,1,1,0,4,3,14,4,10,0.6250,0.6250,0.7143,1,1,0,0,0,0,0,0,0,1.0000,1,0,0,1,100.0000
NAIVE_RAG,affective_remote_work,0,True,True,True,True,0,0,0,0,0,0,0,0,11,5,6,,,0.5455,1,0,0,1,0,0,1,0,0,0.0000,0,0,1,1,0.0000
NAIVE_RAG,affective_remote_work,1,True,True,True,True,5,5.0000,5,0,0,0,5,5,12,5,7,1.0000,1.0000,0.5833,1,1,0,0,0,0,0,0,0,1.0000,1,0,0,1,100.0000
NAIVE_RAG,affective_remote_work,2,True,True,True,True,4,4.0000,4,0,0,0,4,4,12,4,8,1.0000,1.0000,0.6667,1,1,0,0,0,0,0,0,0,1.0000,1,0,0,1,100.0000
NAIVE_RAG,federated_health,0,True,True,True,True,11,5.5000,4,3,4,0,11,4,14,11,3,0.5000,0.5000,0.2143,4,4,0,0,0,0,0,0,0,1.0000,2,2,0,4,75.0000
NAIVE_RAG,federated_health,1,True,True,True,True,5,1.5000,0,3,2,0,5,0,16,10,6,0.3000,0.3000,0.3750,4,3,0,1,0,0,1,0,0,0.7500,1,2,1,4,50.0000
NAIVE_RAG,federated_health,2,True,True,True,True,12,7.5000,6,3,3,0,12,6,18,12,6,0.6250,0.6250,0.3333,4,4,0,0,0,0,0,0,0,1.0000,2,2,0,4,75.0000
NAIVE_RAG,neural_audio_codec,0,True,True,True,True,5,0.0000,0,0,5,0,5,0,22,6,16,0.0000,0.0000,0.7273,8,6,0,2,0,2,0,0,0,0.7500,4,2,2,8,62.5000
NAIVE_RAG,neural_audio_codec,1,True,True,True,True,4,0.0000,0,0,4,0,4,0,23,5,18,0.0000,0.0000,0.7826,8,6,0,2,0,2,0,0,0,0.7500,4,2,2,8,62.5000
NAIVE_RAG,neural_audio_codec,2,True,True,True,True,4,0.0000,0,0,4,0,4,0,21,5,16,0.0000,0.0000,0.7619,8,6,0,2,0,2,0,0,0,0.7500,4,2,2,8,62.5000
NAIVE_RAG,llm_agent_planning,0,True,True,True,True,10,1.0000,1,0,9,0,10,1,20,10,10,0.1000,0.1000,0.5000,7,5,0,2,0,2,0,0,0,0.7143,5,0,2,7,71.4300
NAIVE_RAG,llm_agent_planning,1,True,True,True,True,8,0.0000,0,0,8,0,8,0,19,8,11,0.0000,0.0000,0.5789,7,5,0,2,0,2,0,0,0,0.7143,5,0,2,7,71.4300
NAIVE_RAG,llm_agent_planning,2,True,True,True,True,11,0.0000,0,0,11,0,11,0,22,11,11,0.0000,0.0000,0.5000,7,5,0,2,0,2,0,0,0,0.7143,5,0,2,7,71.4300
NAIVE_RAG,battery_soh_ml,0,True,True,True,True,12,5.5000,5,1,6,0,12,5,20,12,8,0.4583,0.4583,0.4000,4,4,0,0,0,0,0,0,0,1.0000,3,1,0,4,87.5000
NAIVE_RAG,battery_soh_ml,1,True,True,True,True,12,3.0000,2,2,8,0,13,4,19,12,7,0.2500,0.2692,0.3684,4,4,0,0,0,0,0,0,0,1.0000,3,1,0,4,87.5000
NAIVE_RAG,battery_soh_ml,2,True,True,True,True,14,3.0000,3,0,11,0,14,3,26,14,12,0.2143,0.2143,0.4615,4,4,0,0,0,0,0,0,0,1.0000,3,1,0,4,87.5000
NAIVE_RAG,txt2sql,0,True,True,True,True,5,0.0000,0,0,5,0,5,0,18,5,13,0.0000,0.0000,0.7222,8,5,0,3,0,0,3,0,0,0.6250,2,2,4,8,37.5000
NAIVE_RAG,txt2sql,1,True,True,True,True,0,0,0,0,0,0,0,0,16,3,13,,,0.8125,8,7,0,1,0,0,1,0,0,0.8750,4,3,1,8,68.7500
NAIVE_RAG,txt2sql,2,True,True,True,True,3,0.0000,0,0,3,0,3,0,16,3,13,0.0000,0.0000,0.8125,8,8,0,0,0,0,0,0,0,1.0000,4,3,1,8,68.7500
LLM_ONLY,code_review_llm,0,True,True,True,True,8,2.5000,2,1,5,0,8,2,25,8,17,0.3125,0.3125,0.6800,10,8,0,2,0,0,0,2,0,0.8000,1,3,6,10,25.0000
LLM_ONLY,code_review_llm,1,True,True,True,True,7,1.5000,1,1,5,0,7,2,50,7,43,0.2143,0.2143,0.8600,10,6,0,4,0,0,0,4,0,0.6000,0,5,5,10,25.0000
LLM_ONLY,code_review_llm,2,True,True,True,True,4,1.5000,1,1,2,0,4,1,36,4,32,0.3750,0.3750,0.8889,10,8,0,2,0,0,0,2,0,0.8000,1,6,3,10,40.0000
LLM_ONLY,diffusion_3d,0,True,True,True,True,0,0,0,0,0,0,0,0,25,4,21,,,0.8400,10,0,10,0,0,0,0,0,0,,0,0,10,10,0.0000
LLM_ONLY,diffusion_3d,1,True,True,True,True,5,2.5000,2,1,2,0,5,2,36,5,31,0.5000,0.5000,0.8611,10,9,0,1,0,0,0,1,0,0.9000,8,0,2,10,80.0000
LLM_ONLY,diffusion_3d,2,True,True,True,True,6,3.5000,3,1,2,0,6,3,42,8,34,0.5833,0.5833,0.8095,10,7,0,3,3,0,0,0,3,0.7000,6,1,3,10,65.0000
LLM_ONLY,gnn_drug,0,True,True,True,True,9,6.0000,6,0,3,0,9,6,42,10,32,0.6667,0.6667,0.7619,10,9,0,1,1,0,0,0,1,0.9000,7,2,1,10,80.0000
LLM_ONLY,gnn_drug,1,True,True,True,True,9,5.5000,3,5,1,0,9,4,36,10,26,0.6111,0.6111,0.7222,10,6,0,4,1,0,0,3,1,0.6000,5,1,4,10,55.0000
LLM_ONLY,gnn_drug,2,True,True,True,True,10,7.0000,7,0,3,0,10,7,27,10,17,0.7000,0.7000,0.6296,10,10,0,0,0,0,0,0,0,1.0000,8,2,0,10,90.0000
LLM_ONLY,short_video_misinfo,0,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,,,,10,0,10,0,0,0,0,0,0,,0,0,10,10,0.0000
LLM_ONLY,short_video_misinfo,1,True,True,True,True,6,4.0000,3,2,1,0,6,4,50,8,42,0.6667,0.6667,0.8400,10,3,0,7,2,0,0,5,2,0.3000,0,3,7,10,15.0000
LLM_ONLY,short_video_misinfo,2,True,True,True,True,8,4.5000,4,1,3,0,8,5,27,8,19,0.5625,0.5625,0.7037,10,7,0,3,0,0,0,3,0,0.7000,0,6,4,10,30.0000
LLM_ONLY,affective_remote_work,0,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,,,,10,0,10,0,0,0,0,0,0,,0,0,10,10,0.0000
LLM_ONLY,affective_remote_work,1,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,,,,10,0,10,0,0,0,0,0,0,,0,0,10,10,0.0000
LLM_ONLY,affective_remote_work,2,True,True,True,True,1,1.0000,1,0,0,0,1,1,57,8,49,1.0000,1.0000,0.8596,10,1,7,2,1,1,0,0,1,0.3333,0,1,9,10,5.0000
LLM_ONLY,federated_health,0,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,,,,10,0,10,0,0,0,0,0,0,,0,0,10,10,0.0000
LLM_ONLY,federated_health,1,True,True,True,True,0,0,0,0,0,0,0,0,33,5,28,,,0.8485,10,0,10,0,0,0,0,0,0,,0,0,10,10,0.0000
LLM_ONLY,federated_health,2,True,True,True,True,6,3.5000,3,1,2,0,6,4,38,6,32,0.5833,0.5833,0.8421,10,5,0,5,0,0,0,5,0,0.5000,4,1,5,10,45.0000
LLM_ONLY,neural_audio_codec,0,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,,,,10,0,10,0,0,0,0,0,0,,0,0,10,10,0.0000
LLM_ONLY,neural_audio_codec,1,True,True,True,True,7,4.5000,4,1,2,0,7,4,32,8,24,0.6429,0.6429,0.7500,10,6,0,4,0,0,0,4,0,0.6000,6,0,4,10,60.0000
LLM_ONLY,neural_audio_codec,2,True,True,True,True,6,4.5000,3,3,0,0,6,5,45,7,38,0.7500,0.7500,0.8444,10,8,0,2,2,0,0,0,2,0.8000,7,1,2,10,75.0000
LLM_ONLY,llm_agent_planning,0,True,True,True,True,8,4.5000,4,1,3,0,8,5,39,8,31,0.5625,0.5625,0.7949,10,7,0,3,2,0,0,1,2,0.7000,7,0,3,10,70.0000
LLM_ONLY,llm_agent_planning,1,True,True,True,True,6,2.5000,2,1,3,0,6,2,37,8,29,0.4167,0.4167,0.7838,10,7,0,3,3,0,0,0,3,0.7000,7,0,3,10,70.0000
LLM_ONLY,llm_agent_planning,2,True,True,True,True,7,6.0000,6,0,1,0,7,6,39,8,31,0.8571,0.8571,0.7949,10,7,0,3,1,0,0,2,1,0.7000,7,0,3,10,70.0000
LLM_ONLY,battery_soh_ml,0,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,,,,10,0,10,0,0,0,0,0,0,,0,0,10,10,0.0000
LLM_ONLY,battery_soh_ml,1,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,,,,10,0,10,0,0,0,0,0,0,,0,0,10,10,0.0000
LLM_ONLY,battery_soh_ml,2,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,,,,10,0,10,0,0,0,0,0,0,,0,0,10,10,0.0000
LLM_ONLY,txt2sql,0,True,True,True,True,5,5.0000,5,0,0,0,5,5,40,6,34,1.0000,1.0000,0.8500,10,6,0,4,2,0,0,2,2,0.6000,6,0,4,10,60.0000
LLM_ONLY,txt2sql,1,True,True,True,True,3,2.5000,2,1,0,0,3,3,34,6,28,0.8333,0.8333,0.8235,10,6,0,4,4,0,0,0,4,0.6000,6,0,4,10,60.0000
LLM_ONLY,txt2sql,2,True,True,True,True,5,3.0000,2,2,1,0,5,3,34,9,25,0.6000,0.6000,0.7353,10,5,0,5,3,0,0,2,3,0.5000,5,0,5,10,50.0000
